,title,author
2687,Blood of Elves,Andrzej Sapkowski
2688,UnEnchanted,Chanda Hahn 
2690,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama
2691,The Tombs of Atuan,Ursula K. Le Guin
2692,"That Was Then, This Is Now",S.E. Hinton 
2693,Cell,Stephen King 
2694,Of Poseidon,Anna Banks 
2697,"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle
2698,Two Boys Kissing,David Levithan 
2699,Mark of the Lion Trilogy,Francine Rivers 
2700,The System of the World,Neal Stephenson 
2701,Keeping the Moon,Sarah Dessen 
2702,The Eternity Cure,Julie Kagawa 
2703,What Happened to Goodbye,Sarah Dessen 
2704,Sweet Dreams,Kristen Ashley 
2705,The Comfort of Strangers,Ian McEwan
2706,A Grimm Warning,Chris Colfer
2707,Austenland,Shannon Hale 
2708,Erak's Ransom,John Flanagan
2709,A Merciful Secret,Kendra Elliot 
2711,The Crimson Crown,Cinda Williams Chima 
2712,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein
2713,Blood of the Fold,Terry Goodkind
2714,City of Golden Shadow,Tad Williams 
2715,The Motorcycle Diaries: Notes on a Latin American Journey,Ernesto Che Guevara
2716,A Constellation of Vital Phenomena,Anthony Marra 
2717,Children of Dune,Frank Herbert
2718,'Tis,Frank McCourt
2719,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg 
2720,The Death of Bunny Munro,Nick Cave
2721,Mistborn Trilogy Boxed Set,Brandon Sanderson 
2722,Without Remorse,Tom Clancy
2723,Finding Audrey,Sophie Kinsella 
2724,Use of Weapons,Iain M. Banks
2725,Reunion,Jenny Carroll
2726,The Hostile Hospital,Lemony Snicket 
2727,Poison Princess,Kresley Cole 
2728,Forever Too Far,Abbi Glines 
2729,The Necromancer,Michael Scott 
2730,In the Time of the Butterflies,Julia Alvarez 
2731,Save Yourself,Kelly Braffet 
2732,Lord of Light,Roger Zelazny
2734,The Memoirs of Sherlock Holmes,Arthur Conan Doyle
2735,Anne's House of Dreams,L.M. Montgomery
2737,Gormenghast,Mervyn Peake
2738,The Secret Hour,Scott Westerfeld 
2739,All Over But the Shoutin',Rick Bragg
2740,The Gospel According to Jesus Christ,José Saramago
2741,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson 
2742,The Warrior Heir,Cinda Williams Chima 
2743,Vain,Fisher Amelie 
2744,Losing It,Cora Carmack 
2745,Destined,P.C. Cast  (co-author)
2746,Pyramids,Terry Pratchett
2747,Lectures on Faith,Joseph Smith Jr.
2748,Touch of Frost,Jennifer Estep 
2749,Witch & Wizard,James Patterson 
2750,Confess,Colleen Hoover 
2752,The Carnivorous Carnival,Lemony Snicket 
2753,Piercing the Darkness,Frank E. Peretti
2754,Jingo,Terry Pratchett
2755,Queen of the Darkness,Anne Bishop
2756,ESV Study Bible,Anonymous
2757,Go Set a Watchman,Harper Lee
2759,History of the Peloponnesian War,Thucydides
2761,High-Rise,J.G. Ballard
2762,The Magician,Michael Scott 
2763,Labyrinth,Kate Mosse
2764,Phantom,Susan Kay
2765,The Complete Fairy Tales,Oscar Wilde
2767,The Jungle Book,Rudyard Kipling
2769,Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling
2770,"Where'd You Go, Bernadette",Maria Semple
2771,Hunting Ground,Patricia Briggs
2772,Thinner,Richard Bachman (Pseudonym)
2773,The Kings of Clonmel,John Flanagan
2774,Prozac Nation,Elizabeth Wurtzel
2775,The Lunatic Cafe,Laurell K. Hamilton 
2776,Any Human Heart,William Boyd
2777,Lord Loss,Darren Shan 
2778,Dare You To,Katie McGarry 
2779,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison
2780,The Program,Suzanne Young 
2781,"I, Claudius/Claudius the God",Robert Graves
2782,The Art of Loving,Erich Fromm
2783,The Samurai's Garden,Gail Tsukiyama
2784,Proven Guilty,Jim Butcher 
2786,Sweet Reckoning,Wendy Higgins 
2788,Falling into You,Jasinda Wilder 
2789,Dark Rooms,Lili Anolik 
2790,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller
2791,Winter's Tale,Mark Helprin
2792,Resurrection,Leo Tolstoy
2793,The First Fifteen Lives of Harry August,Claire North
2796,Struck By Lightning: The Carson Phillips Journal,Chris Colfer
2797,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks
2798,And the Ass Saw the Angel,Nick Cave
2799,Forever,Pete Hamill
2800,The Poetry of Pablo Neruda,Pablo Neruda
2801,I Hunt Killers,Barry Lyga 
2802,The Lying Game,Sara Shepard 
2803,Snow Country,Yasunari Kawabata
2804,Verity,Colleen Hoover 
2805,Caressed by Ice,Nalini Singh 
2806,Winter's Heart,Robert Jordan
2807,The Waste Land and Other Poems,T.S. Eliot
2808,Cruel Beauty,Rosamund Hodge 
2809,Batman: The Long Halloween,Jeph Loeb
2810,Kitchen,Banana Yoshimoto
2811,The Age of Miracles,Karen Thompson Walker 
2812,Fantastic Mr. Fox,Roald Dahl
2813,Audition,Ryū Murakami
2814,The Kindly Ones,Jonathan Littell
2815,The Cost of Discipleship,Dietrich Bonhoeffer
2816,The Fall of Five,Pittacus Lore
2817,My Favorite Mistake,Chelsea M. Cameron 
2818,"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov
2820,Eight Cousins,Louisa May Alcott
2821,The Queen of Attolia,Megan Whalen Turner 
2823,Finnegans Wake,James Joyce
2824,Backstage Pass,Olivia Cunning 
2825,A Fire Upon the Deep,Vernor Vinge
2826,Welcome to the Monkey House,Kurt Vonnegut Jr.
2827,In The Afterlight,Alexandra Bracken 
2828,Jemima J,Jane Green 
2830,Bloody Jack,L.A. Meyer
2831,Haunted,Meg Cabot 
2832,Into the Darkest Corner,Elizabeth Haynes 
2833,Elixir,Jennifer L. Armentrout 
2834,The Last Juror,John Grisham 
2835,The Night Angel Trilogy,Brent Weeks 
2836,Leviathan Wakes,James S.A. Corey 
2837,The Blinding Knife,Brent Weeks 
2838,Here Be Dragons,Sharon Kay Penman 
2839,The Dead-Tossed Waves,Carrie Ryan 
2840,Forsaken,Jana Oliver 
2841,Breathing Lessons,Anne Tyler 
2842,The Darkest Kiss,Gena Showalter 
2843,It's Not Summer Without You,Jenny Han 
2844,The Marriage Bargain,Jennifer Probst 
2845,The Art of Fielding,Chad Harbach 
2846,Playing with Fire,Derek Landy
2847,Deadly Little Secret,Laurie Faria Stolarz 
2848,Selected Poems,Robert Frost
2849,Goodbye to All That,Robert Graves
2850,The Outsider,Stephen King 
2851,The Book of Laughter and Forgetting,Milan Kundera
2852,The Thief of Always,Clive Barker 
2853,The Opal Deception,Eoin Colfer
2854,Bridget Jones: The Edge of Reason,Helen Fielding 
2855,Out Stealing Horses,Per Petterson
2856,Three Weeks With My Brother,Nicholas Sparks 
2857,Remy,Katy Evans 
2858,Lost Souls,Poppy Z. Brite 
2859,The Club Dumas,Arturo Pérez-Reverte
2860,The Demigod Diaries,Rick Riordan 
2861,Eliza and Her Monsters,Francesca Zappia 
2862,Night Star,Alyson Noel 
2863,The Age of Reason,Jean-Paul Sartre
2864,Silk,Alessandro Baricco
2865,The White Dragon,Anne McCaffrey
2866,The Time Paradox,Eoin Colfer
2867,Maniac Magee,Jerry Spinelli
2868,The Siege of Macindaw,John Flanagan
2869,Fragile Things: Short Fictions and Wonders,Neil Gaiman 
2870,Crime,Irvine Welsh
2871,The King's Men,Nora Sakavic 
2872,In the Hand of the Goddess,Tamora Pierce 
2873,Saving CeeCee Honeycutt,Beth Hoffman 
2874,Motherless Brooklyn,Jonathan Lethem
2875,Monument 14,Emmy Laybourne 
2877,Mystery Man,Kristen Ashley 
2878,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman
2879,Love & Misadventure,Lang Leav 
2880,Plainsong,Kent Haruf
2881,The Outlaw Demon Wails,Kim Harrison 
2882,Twisted Perfection,Abbi Glines 
2884,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown 
2885,Hunting and Gathering,Anna Gavalda
2886,The Orange Girl,Jostein Gaarder
2887,Darkest Hour,Jenny Carroll
2888,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith
2889,A Hat Full of Sky,Terry Pratchett
2890,Vampire Kisses: The Beginning,Ellen Schreiber
2891,Six Days of the Condor,James Grady 
2892,Soul of the Fire,Terry Goodkind
2893,The Long Winter,Laura Ingalls Wilder
2895,The Glass Lake,Maeve Binchy
2897,Ninth Key,Jenny Carroll
2898,Sugar Daddy,Lisa Kleypas 
2900,The Blind Owl,Sadegh Hedayat
2901,The Humans,Matt Haig 
2902,Matterhorn,Karl Marlantes
2903,Awake at Dawn,C.C. Hunter 
2908,The Fall of the Phoenix,Daniel Kelly 
2909,Dr. Seuss's ABC,Dr. Seuss
2910,Unleash the Night,Sherrilyn Kenyon 
2912,Where I'm Calling From: New and Selected Stories,Raymond Carver
2913,Dealing with Dragons,Patricia C. Wrede 
2914,Brooklyn,Colm Tóibín
2916,The Rings of Saturn,W.G. Sebald
2917,The Confessions of Nat Turner,William Styron
2918,The Arrival,Shaun Tan
2919,Zeno's Conscience,Italo Svevo
2921,Consequences,Aleatha Romig 
2922,A Thousand Pieces of You,Claudia Gray 
2923,Baltasar and Blimunda,José Saramago
2924,The Queen's Fool,Philippa Gregory 
2925,Me and Earl and the Dying Girl,Jesse Andrews 
2926,The Secret of the Old Clock,Carolyn Keene
2927,Terrier,Tamora Pierce 
2928,The Gamble,Kristen Ashley 
2929,The Recruit,Robert Muchamore
2931,Rot & Ruin,Jonathan Maberry 
2932,Thr3e,Ted Dekker 
2933,The Circle,Dave Eggers
2934,The Farthest Shore,Ursula K. Le Guin
2936,Brief Lives,Neil Gaiman 
2938,Winter Garden,Kristin Hannah 
2939,Samarkand,Amin Maalouf 
2941,Abandon,Meg Cabot 
2943,The Golden Bowl,Henry James
2944,Invisible,Paul Auster
2945,Homo Faber,Max Frisch
2946,Lady Knight,Tamora Pierce 
2947,Gone for Good,Harlan Coben 
2948,The Memoirs of Cleopatra,Margaret George 
2949,What the Wind Knows,Amy Harmon 
2950,The Basketball Diaries,Jim Carroll
2951,Fire and Ice,Erin Hunter
2952,Summer of the Monkeys,Wilson Rawls
2953,A Touch of Dead,Charlaine Harris 
2954,A Soldier of the Great War,Mark Helprin
2955,The Siren,Tiffany Reisz 
2956,The Magician's Apprentice,Trudi Canavan
2957,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh 
2959,Song of Susannah,Stephen King 
2960,Frisk,Dennis Cooper
2961,The Sex Lives of Siamese Twins,Irvine Welsh
2962,Prep,Curtis Sittenfeld 
2963,Sold,Patricia McCormick
2964,Life and Fate,Vasily Grossman
2965,The Dark and Hollow Places,Carrie Ryan 
2966,Stepbrother Dearest,Penelope Ward 
2967,We Should All Be Feminists,Chimamanda Ngozi Adichie
2969,Before They Are Hanged,Joe Abercrombie
2970,Letters to a Young Poet,Rainer Maria Rilke
2971,Edenbrooke,Julianne Donaldson 
2972,A Raisin in the Sun,Lorraine Hansberry
2975,Desperation,Stephen King 
2976,Small Great Things,Jodi Picoult 
2977,The Dragon Heir,Cinda Williams Chima 
2978,Defiance,C.J. Redwine 
2979,"Dark Guardian (Dark Guardian, #1)",Ammar Habib 
2980,Nick & Norah's Infinite Playlist,Rachel Cohn
2981,Little Brother,Cory Doctorow
2982,Providence,Jamie McGuire 
2983,"Conversations with God: An Uncommon Dialogue, Book 1",Neale Donald Walsch
2984,The Autobiography of Benjamin Franklin,Benjamin Franklin
2985,My Family and Other Animals,Gerald Durrell
2986,My Cousin Rachel,Daphne du Maurier
2987,Barely Breathing,Rebecca Donovan 
2988,The Case for Christ,Lee Strobel
2990,The Jewel in the Crown,Paul Scott
2991,Portrait in Sepia,Isabel Allende 
2992,Sandry's Book,Tamora Pierce 
2993,On Liberty,John Stuart Mill
2994,The Gray House,Mariam Petrosyan
2995,The Fairy-Tale Detectives,Michael Buckley
2996,The Yearling,Marjorie Kinnan Rawlings
2997,Freak the Mighty,Rodman Philbrick
2998,The Emperor of Nihon-Ja,John Flanagan
3000,Rilla of Ingleside,L.M. Montgomery
3001,The Charterhouse of Parma,Stendhal
3002,East,Edith Pattou 
3003,The Faceless Ones,Derek Landy
3004,The Sweet Gum Tree,Katherine Allred
3005,The Hard Way,Lee Child 
3006,Hawksong,Amelia Atwater-Rhodes 
3007,Nobody Move,Denis Johnson
3008,The Initiation / The Captive Part I,L.J. Smith 
3010,Midnight Rising,Lara Adrian 
3011,Kushiel's Avatar,Jacqueline Carey 
3012,Queen of Air and Darkness,Cassandra Clare 
3013,The Great and Secret Show,Clive Barker 
3014,Succubus Heat,Richelle Mead 
3015,Naked,David Sedaris
3016,Winger,Andrew Smith
3017,The Realms of the Gods,Tamora Pierce 
3018,Landline,Rainbow Rowell 
3019,Homo Deus: A History of Tomorrow,Yuval Noah Harari
3020,River Marked,Patricia Briggs
3021,Wolf-Speaker,Tamora Pierce 
3022,Purple Hibiscus,Chimamanda Ngozi Adichie
3024,Norse Mythology,Neil Gaiman 
3026,We Were the Mulvaneys,Joyce Carol Oates
3027,The Charm School,Nelson DeMille 
3028,Forest of Secrets,Erin Hunter
3029,Dead Poets Society,N.H. Kleinbaum
3031,"Naruto, Vol. 01: Uzumaki Naruto",Masashi Kishimoto
3032,Princess of the Midnight Ball,Jessica Day George 
3033,Tricks,Ellen Hopkins 
3034,The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente 
3035,Luck in the Shadows,Lynn Flewelling 
3036,Tommaso,Mimi Jean Pamfiloff 
3037,The Reluctant Fundamentalist,Mohsin Hamid
3039,Once and Always,Judith McNaught
3040,Jack Who?: Perfect Storms,Lisa Gillis 
3041,Dress Your Family in Corduroy and Denim,David Sedaris
3042,Savvy,Ingrid Law 
3043,Sula,Toni Morrison
3044,Hannibal Rising,Thomas Harris
3045,The Temple of the Golden Pavilion,Yukio Mishima
3046,The Looking Glass Wars,Frank Beddor 
3047,The Eighth Sister,Robert Dugoni 
3048,Gardens of the Moon,Steven Erikson 
3049,The Promise,Chaim Potok
3050,All the Ugly and Wonderful Things,Bryn Greenwood 
3052,Dirty Red,Tarryn Fisher 
3053,This Savage Song,Victoria Schwab 
3054,Golden Fool,Robin Hobb 
3055,The Alice Network,Kate Quinn 
3056,"The Chronicles of Thomas Covenant, the Unbeliever",Stephen R. Donaldson
3057,Covet,J.R. Ward 
3058,Baudolino,Umberto Eco
3059,Three Day Road,Joseph Boyden
3060,The Essential Rumi,Rumi
3061,The Elfstones of Shannara,Terry Brooks 
3062,The Monk,Matthew Gregory Lewis
3063,Radio Silence,Alice Oseman 
3065,Crossroads of Twilight,Robert Jordan
3066,The Concrete Blonde,Michael Connelly 
3067,Wasted: A Memoir of Anorexia and Bulimia,Marya Hornbacher
3068,The Dark Divine,Bree Despain 
3069,Dragonsong,Anne McCaffrey
3070,The Screaming Staircase,Jonathan Stroud 
3071,Fueled,K. Bromberg 
3073,How to Kill a Rock Star,Tiffanie DeBartolo 
3074,The Hundred Thousand Kingdoms,N.K. Jemisin 
3076,All Things Wise and Wonderful,James Herriot
3077,"Flow My Tears, the Policeman Said",Philip K. Dick
3078,Bone: The Complete Edition,Jeff Smith
3079,In the Clearing,Robert Dugoni 
3080,Assassin's Quest,Robin Hobb 
3081,Through the Looking-Glass and What Alice Found There,Lewis Carroll
3082,Snow Like Ashes,Sara Raasch 
3083,Vampire Kisses,Ellen Schreiber
3084,Let's Pretend This Never Happened: A Mostly True Memoir,Jenny Lawson 
3085,Dragon Rider,Cornelia Funke 
3086,The Ruby Circle,Richelle Mead 
3088,Wise Blood,Flannery O'Connor
3089,The Body Reader,Anne Frasier 
3090,D'Aulaires' Book of Greek Myths,Ingri d'Aulaire
3091,Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype,Clarissa Pinkola Estés
3092,Hounded,Kevin Hearne 
3093,The Magic Faraway Tree,Enid Blyton
3094,Finding Sky,Joss Stirling 
3095,Bad Things,R.K. Lilley 
3097,Cancer Ward,Aleksandr Solzhenitsyn
3101,Hades,Alexandra Adornetto
3102,A Hidden Fire,Elizabeth Hunter 
3104,The Girl Who Chased the Moon,Sarah Addison Allen 
3106,Mud Vein,Tarryn Fisher 
3107,Notes from a Small Island,Bill Bryson
3108,Loving Frank,Nancy Horan
3109,Chainfire,Terry Goodkind
3110,Ancillary Justice,Ann Leckie 
3111,Life: A User's Manual,Georges Perec
3112,Mossflower,Brian Jacques
3114,The Christmas Sweater,Glenn Beck
3115,At Home in Mitford,Jan Karon
3116,Wings of Fire: An Autobiography,A.P.J. Abdul Kalam
3119,Child of the Prophecy,Juliet Marillier 
3121,The Bourne Supremacy,Robert Ludlum
3122,The Enchantress,Michael Scott 
3124,A Crown of Swords,Robert Jordan
3125,The Member of the Wedding,Carson McCullers
3126,Fairest,Marissa Meyer 
3128,At the Mountains of Madness,H.P. Lovecraft
3129,"Memories, Dreams, Reflections",C.G. Jung
3130,A Deepness in the Sky,Vernor Vinge
3131,Generation X: Tales for an Accelerated Culture,Douglas Coupland 
3132,"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris
3133,The Year of Magical Thinking,Joan Didion
3134,The Lost Prince,Julie Kagawa 
3135,The Tender Bar: A Memoir,J.R. Moehringer
3136,"Capital, Vol. 1: A Critical Analysis of Capitalist Production",Karl Marx
3137,Find You in the Dark,A. Meredith Walters 
3140,The Good Girl,Mary Kubica 
3141,Still Missing,Chevy Stevens 
3142,Democracy in America,Alexis de Tocqueville
3143,The Mysterious Stranger,Mark Twain
3144,Jinx,Meg Cabot 
3146,Dragonsinger,Anne McCaffrey
3147,The Three Stigmata of Palmer Eldritch,Philip K. Dick
3148,Worm,Wildbow
3149,Those Who Save Us,Jenna Blum 
3150,A Job From Hell,Jayde Scott 
3151,The Apprentice,Tess Gerritsen 
3152,An Ideal Husband,Oscar Wilde
3153,Page,Tamora Pierce 
3155,"Love, Lex",Avery Aster 
3156,Into the Water,Paula Hawkins 
3157,Waterfall,Lisa Tawn Bergren 
3158,Death and the Dervish,Meša Selimović
3159,Scarlett,Alexandra Ripley
3161,The Hangman's Daughter,Oliver Pötzsch 
3162,Rumo & His Miraculous Adventures,Walter Moers
3165,The Camel Club,David Baldacci 
3166,The Naturals,Jennifer Lynn Barnes 
3167,On Beauty,Zadie Smith
3168,The Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz
3169,On the Fence,Kasie West 
3171,A Spell for Chameleon,Piers Anthony
3172,Something Wonderful,Judith McNaught
3173,Hard Bitten,Chloe Neill 
3174,Fallout,Ellen Hopkins 
3175,The Adoration of Jenna Fox,Mary E. Pearson 
3176,Double Indemnity,James M. Cain
3177,Every Last Word,Tamara Ireland Stone 
3178,Homegoing,Yaa Gyasi
3179,Fragile Lives: A Heart Surgeon’s Stories of Life and Death on the Operating Table,Stephen Westaby
3181,Succubus Dreams,Richelle Mead 
3182,Infinite Days,Rebecca Maizel 
3183,The Haunted,Jessica Verday
3184,In Defense of Food: An Eater's Manifesto,Michael Pollan 
3185,MaddAddam,Margaret Atwood 
3186,The Republic of Thieves,Scott Lynch 
3187,The Nicomachean Ethics,Aristotle
3188,This is Where I Leave You,Jonathan Tropper
3189,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton 
3190,Origins,L.J. Smith  (Based on the novels)
3191,Okay for Now,Gary D. Schmidt
3192,Please Look After Mom,Shin Kyung-sook
3193,The Stone Diaries,Carol Shields
3195,The Sympathizer,Viet Thanh Nguyen 
3196,Red Russia,Tanya Thompson
3197,I Never Promised You a Rose Garden,Hannah Green
3198,The Sluts,Dennis Cooper
3199,Seven Pillars of Wisdom: A Triumph,T.E. Lawrence
3200,Daughter of the Blood,Anne Bishop
3201,Esperanza Rising,Pam Muñoz Ryan
3202,The Monkey Wrench Gang,Edward Abbey
3203,Sookie Stackhouse 8 Volume Set,Charlaine Harris 
3204,Eve,Anna Carey 
3206,The Mermaid Chair,Sue Monk Kidd 
3207,Morning Star,Pierce Brown 
3208,"The Penderwicks: A Summer Tale of Four Sisters, Two Rabbits, and a Very Interesting Boy",Jeanne Birdsall
3209,The Atlantis Complex,Eoin Colfer
3210,Love Letters to the Dead,Ava Dellaira 
3211,The Catastrophic History of You and Me,Jess Rothenberg 
3212,Captivated by You,Sylvia Day 
3213,The Tartar Steppe,Dino Buzzati
3214,Everlasting,Alyson Noel 
3215,Under the Tuscan Sun,Frances Mayes 
3219,Checkmate,Dorothy Dunnett
3220,The Gathering,Kelley Armstrong 
3221,House of Earth and Blood,Sarah J. Maas 
3222,Lila: An Inquiry Into Morals,Robert M. Pirsig
3223,The Feminine Mystique,Betty Friedan
3225,Plato: Complete Works,Plato
3226,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoyevsky
3227,The Devouring,Simon Holt
3228,The Secret of Ella and Micha,Jessica Sorensen 
3229,A Beautiful Mind,Sylvia Nasar
3230,Unite Me,Tahereh Mafi
3231,Holding Up the Universe,Jennifer Niven 
3232,The Man Who Planted Trees,Jean Giono
3233,To Have and Have Not,Ernest Hemingway
3234,Mein Kampf,Adolf Hitler
3235,Normal People,Sally Rooney 
3236,Invitation to a Beheading,Vladimir Nabokov
3237,The Sea Wolf,Jack London
3238,Imperial Bedrooms,Bret Easton Ellis
3239,Rock Chick,Kristen Ashley 
3240,"Mio, My Son",Astrid Lindgren
3241,Sleeping Beauties,Stephen King 
3242,The Trapped Girl,Robert Dugoni 
3243,L.A. Confidential,James Ellroy
3244,Dark Days,Derek Landy
3245,The Power of the Dog,Don Winslow 
3247,The Amityville Horror,Jay Anson
3248,The Beginning of Everything,Robyn Schneider 
3249,The Dark Half,Stephen King 
3250,No Exit,Jean-Paul Sartre
3251,The Vile Village,Lemony Snicket 
3252,My Utmost for His Highest,Oswald Chambers
3254,Cosmicomics,Italo Calvino
3256,Glue,Irvine Welsh
3257,Lucky Jim,Kingsley Amis
3258,Thunderhead,Neal Shusterman 
3259,Rising Storm,Erin Hunter
3260,Iron Crowned,Richelle Mead 
3261,And Quiet Flows the Don,Mikhail Sholokhov
3262,Percy Jackson and the Olympians Boxed Set,Rick Riordan 
3263,The Devotion of Suspect X,Keigo Higashino
3264,A Woman of Substance,Barbara Taylor Bradford 
3266,Case Histories,Kate Atkinson
3267,Touch the Dark,Karen Chance 
3268,The Good Soldier Švejk,Jaroslav Hašek
3269,Dr. Faustus,Christopher Marlowe
3270,Five Quarters of the Orange,Joanne Harris 
3271,Leaving Time,Jodi Picoult 
3272,Bluestar's Prophecy,Erin Hunter
3273,Don't Look Back,Jennifer L. Armentrout 
3274,The Queen of the Tearling,Erika Johansen 
3275,Bring Up the Bodies,Hilary Mantel 
3276,Shadow & Claw,Gene Wolfe
3277,Phantoms,Dean Koontz 
3278,A Lesson Before Dying,Ernest J. Gaines
3279,The Lover's Dictionary,David Levithan 
3280,The First Phone Call from Heaven,Mitch Albom 
3281,Shadows,Jennifer L. Armentrout 
3282,Renegades,Marissa Meyer 
3283,Nobody's Boy,Hector Malot
3284,Bite Club,Rachel Caine 
3286,The Little Friend,Donna Tartt
3287,The Luxe,Anna Godbersen
3288,The City and the Stars,Arthur C. Clarke
3289,Heart of Obsidian,Nalini Singh 
3290,Pattern Recognition,William Gibson
3291,Motorcycle Man,Kristen Ashley 
3292,Deadhouse Gates,Steven Erikson 
3293,Child of God,Cormac McCarthy
3294,The Prisoner of Cell 25,Richard Paul Evans
3295,Heir of Novron,Michael J. Sullivan 
3296,A Torch Against the Night,Sabaa Tahir 
3297,Naked,Raine Miller 
3298,The Intelligent Investor,Benjamin Graham
3299,Shopaholic & Baby,Sophie Kinsella 
3300,VALIS,Philip K. Dick
3301,Mason & Dixon,Thomas Pynchon
3302,What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe 
3303,Consider Phlebas,Iain M. Banks
3304,Inside Out,Maria V. Snyder 
3305,They Cage the Animals at Night,Jennings Michael Burch
3306,The Great Santini,Pat Conroy
3307,Vanishing Acts,Jodi Picoult 
3308,The Pillow Book,Sei Shōnagon
3309,Breathe,Abbi Glines 
3310,Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculée Ilibagiza
3311,Critique of Pure Reason,Immanuel Kant
3312,The Crown,Kiera Cass 
3313,Vanish,Sophie Jordan 
3314,Legendary,Stephanie Garber 
3315,4 3 2 1,Paul Auster
3316,The Crow Road,Iain Banks
3318,Not Without My Daughter,Betty Mahmoody
3319,Dreams Made Flesh,Anne Bishop
3320,Devil in Winter,Lisa Kleypas 
3321,Disney After Dark,Ridley Pearson
3322,Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman
3323,Nine Princes in Amber,Roger Zelazny
3324,The Three-Body Problem,Liu Cixin 
3325,The Prisoner of Heaven,Carlos Ruiz Zafón
3326,The Secret Agent,Joseph Conrad
3327,The Secret History of the Pink Carnation,Lauren Willig 
3332,Thorn Queen,Richelle Mead 
3333,Orthodoxy,G.K. Chesterton
3335,Sons of Destiny,Darren Shan 
3338,Don Juan,Lord Byron
3339,Rivers of London,Ben Aaronovitch 
3340,The Redemption of Callie & Kayden,Jessica Sorensen 
3341,Seize the Night,Sherrilyn Kenyon 
3344,Godsgrave,Jay Kristoff 
3345,The Soft Machine,William S. Burroughs
3346,The Wizard Heir,Cinda Williams Chima 
3347,Forest Born,Shannon Hale 
3348,Map of Bones,James Rollins 
3350,The Pit and the Pendulum,Edgar Allan Poe
3351,The Plot Against America,Philip Roth
3352,Selected Stories of Anton Chekhov,Anton Chekhov
3353,The Broker,John Grisham 
3354,The Death and Life of Charlie St. Cloud,Ben Sherwood
3355,Collide,Gail McHugh 
3356,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain
3357,The Devil and Miss Prym,Paulo Coelho 
3358,The Chronicles of Prydain,Lloyd Alexander
3360,The Robber Bride,Margaret Atwood 
3361,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi
3362,Plum Island,Nelson DeMille 
3363,State of Fear,Michael Crichton
3365,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke
3366,Brimstone,Douglas Preston 
3367,Charmed Life,Diana Wynne Jones
3369,Nightfall,Shannon Messenger 
3370,"Bleach, Volume 01",Tite Kubo
3371,Recursion,Blake Crouch 
3372,The Tiger's Wife,Téa Obreht 
3373,The Weight of Silence,Heather Gudenkauf 
3374,Frenchman's Creek,Daphne du Maurier
3376,Through the Zombie Glass,Gena Showalter 
3377,The War That Saved My Life,Kimberly Brubaker Bradley 
3378,State of Wonder,Ann Patchett
3381,Raven's Gate,Anthony Horowitz 
3382,On the Banks of Plum Creek,Laura Ingalls Wilder
3383,The Running Man,Richard Bachman (Pseudonym)
3384,The Borrowers,Mary Norton
3385,The People of Sparks,Jeanne DuPrau
3386,Death Masks,Jim Butcher 
3387,"Forgive Me, Leonard Peacock",Matthew Quick 
3388,Blood and Guts in High School,Kathy Acker
3389,Legacy,Shannon Messenger 
3390,Amerika,Franz Kafka
3391,Every Dead Thing,John Connolly 
3392,Where Things Come Back,John Corey Whaley
3393,Still Life With Crows,Douglas Preston 
3394,Succubus Shadows,Richelle Mead 
3395,Martin the Warrior,Brian Jacques
3397,Jesus the Christ,James E. Talmage
3398,Betrayals,Lili St. Crow
3399,Angel Fire,L.A. Weatherly 
3400,Goddess,Josephine Angelini 
3401,Chesapeake,James A. Michener
3402,The Outcasts,John Flanagan
3403,The Coldest Girl in Coldtown,Holly Black 
3404,The World of Divergent: The Path to Allegiant,Veronica Roth 
